date,AAL_currentRatio,AAPL_currentRatio,BABA_currentRatio,FITB_currentRatio,MRNA_currentRatio,MU_currentRatio,PEP_currentRatio,SBUX_currentRatio,TMUS_currentRatio,TSLA_currentRatio,AAL_debtEquityRatio,AAPL_debtEquityRatio,BABA_debtEquityRatio,FITB_debtEquityRatio,MRNA_debtEquityRatio,MU_debtEquityRatio,PEP_debtEquityRatio,SBUX_debtEquityRatio,TMUS_debtEquityRatio,TSLA_debtEquityRatio,AAL_enterpriseValueMultiple,AAPL_enterpriseValueMultiple,BABA_enterpriseValueMultiple,FITB_enterpriseValueMultiple,MRNA_enterpriseValueMultiple,MU_enterpriseValueMultiple,PEP_enterpriseValueMultiple,SBUX_enterpriseValueMultiple,TMUS_enterpriseValueMultiple,TSLA_enterpriseValueMultiple,AAL_netProfitMargin,AAPL_netProfitMargin,BABA_netProfitMargin,FITB_netProfitMargin,MRNA_netProfitMargin,MU_netProfitMargin,PEP_netProfitMargin,SBUX_netProfitMargin,TMUS_netProfitMargin,TSLA_netProfitMargin,AAL_operatingProfitMargin,AAPL_operatingProfitMargin,BABA_operatingProfitMargin,FITB_operatingProfitMargin,MRNA_operatingProfitMargin,MU_operatingProfitMargin,PEP_operatingProfitMargin,SBUX_operatingProfitMargin,TMUS_operatingProfitMargin,TSLA_operatingProfitMargin,AAL_priceFairValue,AAPL_priceFairValue,BABA_priceFairValue,FITB_priceFairValue,MRNA_priceFairValue,MU_priceFairValue,PEP_priceFairValue,SBUX_priceFairValue,TMUS_priceFairValue,TSLA_priceFairValue,AAL_priceToBookRatio,AAPL_priceToBookRatio,BABA_priceToBookRatio,FITB_priceToBookRatio,MRNA_priceToBookRatio,MU_priceToBookRatio,PEP_priceToBookRatio,SBUX_priceToBookRatio,TMUS_priceToBookRatio,TSLA_priceToBookRatio
2016-10-01,0.7497486089696319,1.3115994740228856,1.858838226108682,1.1527180395416925,,2.2466666666666666,1.3161882558647822,1.1439340400471143,1.6316270566727604,1.3816109477368863,10.839285714285714,1.4150433456350116,0.5849028886002351,7.572579682463889,,1.2155575613358496,4.863910490398349,1.417511359664453,2.6773785570566253,3.709352162882584,22.008340664179105,42.90358230378991,18.85903258274082,42.8205727994228,,26.918614457831325,51.58345400939518,59.45015181023785,21.54515796607143,-496.3924146201138,0.0916722956672778,0.1840502384437414,0.2348074889593829,0.2333566923615977,,-0.0741890959282263,0.1242902601859362,0.143967163039328,0.0243981782693558,-0.2308536027470498,0.1749493389944996,0.2385617828981538,0.2741183056540399,0.0,,-0.010351966873706,0.1760154738878143,0.1951699121802214,0.0896768596833658,-0.1874305619531077,3.696319442717997,4.017524890746873,4.980202160658478,0.7969832249015161,,1.1144629523262493,12.428760859863514,13.880394183974136,2.0458028388789886,11.790526002091422,3.696319442717997,4.017524890746873,4.980202160658478,0.7969832249015161,,1.1144629523262493,12.428760859863514,13.880394183974136,2.0458028388789886,11.790526002091422
2016-10-02,0.7497486089696319,1.3115994740228856,1.858838226108682,1.1527180395416925,,2.2466666666666666,1.3161882558647822,1.1439340400471143,1.6316270566727604,1.3816109477368863,10.839285714285714,1.4150433456350116,0.5849028886002351,7.572579682463889,,1.2155575613358496,4.863910490398349,1.417511359664453,2.6773785570566253,3.709352162882584,22.008340664179105,42.90358230378991,18.85903258274082,42.8205727994228,,26.918614457831325,51.58345400939518,59.45015181023785,21.54515796607143,-496.3924146201138,0.0916722956672778,0.1840502384437414,0.2348074889593829,0.2333566923615977,,-0.0741890959282263,0.1242902601859362,0.143967163039328,0.0243981782693558,-0.2308536027470498,0.1749493389944996,0.2385617828981538,0.2741183056540399,0.0,,-0.010351966873706,0.1760154738878143,0.1951699121802214,0.0896768596833658,-0.1874305619531077,3.696319442717997,4.017524890746873,4.980202160658478,0.7969832249015161,,1.1144629523262493,12.428760859863514,13.880394183974136,2.0458028388789886,11.790526002091422,3.696319442717997,4.017524890746873,4.980202160658478,0.7969832249015161,,1.1144629523262493,12.428760859863514,13.880394183974136,2.0458028388789886,11.790526002091422
2016-10-03,0.7497486089696319,1.3115994740228856,1.858838226108682,1.1527180395416925,,2.2466666666666666,1.3161882558647822,1.1439340400471143,1.6316270566727604,1.3816109477368863,10.839285714285714,1.4150433456350116,0.5849028886002351,7.572579682463889,,1.2155575613358496,4.863910490398349,1.417511359664453,2.6773785570566253,3.709352162882584,22.008340664179105,42.90358230378991,18.85903258274082,42.8205727994228,,26.918614457831325,51.58345400939518,59.45015181023785,21.54515796607143,-496.3924146201138,0.0916722956672778,0.1840502384437414,0.2348074889593829,0.2333566923615977,,-0.0741890959282263,0.1242902601859362,0.143967163039328,0.0243981782693558,-0.2308536027470498,0.1749493389944996,0.2385617828981538,0.2741183056540399,0.0,,-0.010351966873706,0.1760154738878143,0.1951699121802214,0.0896768596833658,-0.1874305619531077,3.696319442717997,4.017524890746873,4.980202160658478,0.7969832249015161,,1.1144629523262493,12.428760859863514,13.880394183974136,2.0458028388789886,11.790526002091422,3.696319442717997,4.017524890746873,4.980202160658478,0.7969832249015161,,1.1144629523262493,12.428760859863514,13.880394183974136,2.0458028388789886,11.790526002091422
2016-10-04,0.7497486089696319,1.3115994740228856,1.858838226108682,1.1527180395416925,,2.2466666666666666,1.3161882558647822,1.1439340400471143,1.6316270566727604,1.3816109477368863,10.839285714285714,1.4150433456350116,0.5849028886002351,7.572579682463889,,1.2155575613358496,4.863910490398349,1.417511359664453,2.6773785570566253,3.709352162882584,22.008340664179105,42.90358230378991,18.85903258274082,42.8205727994228,,26.918614457831325,51.58345400939518,59.45015181023785,21.54515796607143,-496.3924146201138,0.0916722956672778,0.1840502384437414,0.2348074889593829,0.2333566923615977,,-0.0741890959282263,0.1242902601859362,0.143967163039328,0.0243981782693558,-0.2308536027470498,0.1749493389944996,0.2385617828981538,0.2741183056540399,0.0,,-0.010351966873706,0.1760154738878143,0.1951699121802214,0.0896768596833658,-0.1874305619531077,3.696319442717997,4.017524890746873,4.980202160658478,0.7969832249015161,,1.1144629523262493,12.428760859863514,13.880394183974136,2.0458028388789886,11.790526002091422,3.696319442717997,4.017524890746873,4.980202160658478,0.7969832249015161,,1.1144629523262493,12.428760859863514,13.880394183974136,2.0458028388789886,11.790526002091422
2016-10-05,0.7497486089696319,1.3115994740228856,1.858838226108682,1.1527180395416925,,2.2466666666666666,1.3161882558647822,1.1439340400471143,1.6316270566727604,1.3816109477368863,10.839285714285714,1.4150433456350116,0.5849028886002351,7.572579682463889,,1.2155575613358496,4.863910490398349,1.417511359664453,2.6773785570566253,3.709352162882584,22.008340664179105,42.90358230378991,18.85903258274082,42.8205727994228,,26.918614457831325,51.58345400939518,59.45015181023785,21.54515796607143,-496.3924146201138,0.0916722956672778,0.1840502384437414,0.2348074889593829,0.2333566923615977,,-0.0741890959282263,0.1242902601859362,0.143967163039328,0.0243981782693558,-0.2308536027470498,0.1749493389944996,0.2385617828981538,0.2741183056540399,0.0,,-0.010351966873706,0.1760154738878143,0.1951699121802214,0.0896768596833658,-0.1874305619531077,3.696319442717997,4.017524890746873,4.980202160658478,0.7969832249015161,,1.1144629523262493,12.428760859863514,13.880394183974136,2.0458028388789886,11.790526002091422,3.696319442717997,4.017524890746873,4.980202160658478,0.7969832249015161,,1.1144629523262493,12.428760859863514,13.880394183974136,2.0458028388789886,11.790526002091422
2016-10-06,0.7497486089696319,1.3115994740228856,1.858838226108682,1.1527180395416925,,2.2466666666666666,1.3161882558647822,1.1439340400471143,1.6316270566727604,1.3816109477368863,10.839285714285714,1.4150433456350116,0.5849028886002351,7.572579682463889,,1.2155575613358496,4.863910490398349,1.417511359664453,2.6773785570566253,3.709352162882584,22.008340664179105,42.90358230378991,18.85903258274082,42.8205727994228,,26.918614457831325,51.58345400939518,59.45015181023785,21.54515796607143,-496.3924146201138,0.0916722956672778,0.1840502384437414,0.2348074889593829,0.2333566923615977,,-0.0741890959282263,0.1242902601859362,0.143967163039328,0.0243981782693558,-0.2308536027470498,0.1749493389944996,0.2385617828981538,0.2741183056540399,0.0,,-0.010351966873706,0.1760154738878143,0.1951699121802214,0.0896768596833658,-0.1874305619531077,3.696319442717997,4.017524890746873,4.980202160658478,0.7969832249015161,,1.1144629523262493,12.428760859863514,13.880394183974136,2.0458028388789886,11.790526002091422,3.696319442717997,4.017524890746873,4.980202160658478,0.7969832249015161,,1.1144629523262493,12.428760859863514,13.880394183974136,2.0458028388789886,11.790526002091422
2016-10-07,0.7497486089696319,1.3115994740228856,1.858838226108682,1.1527180395416925,,2.2466666666666666,1.3161882558647822,1.1439340400471143,1.6316270566727604,1.3816109477368863,10.839285714285714,1.4150433456350116,0.5849028886002351,7.572579682463889,,1.2155575613358496,4.863910490398349,1.417511359664453,2.6773785570566253,3.709352162882584,22.008340664179105,42.90358230378991,18.85903258274082,42.8205727994228,,26.918614457831325,51.58345400939518,59.45015181023785,21.54515796607143,-496.3924146201138,0.0916722956672778,0.1840502384437414,0.2348074889593829,0.2333566923615977,,-0.0741890959282263,0.1242902601859362,0.143967163039328,0.0243981782693558,-0.2308536027470498,0.1749493389944996,0.2385617828981538,0.2741183056540399,0.0,,-0.010351966873706,0.1760154738878143,0.1951699121802214,0.0896768596833658,-0.1874305619531077,3.696319442717997,4.017524890746873,4.980202160658478,0.7969832249015161,,1.1144629523262493,12.428760859863514,13.880394183974136,2.0458028388789886,11.790526002091422,3.696319442717997,4.017524890746873,4.980202160658478,0.7969832249015161,,1.1144629523262493,12.428760859863514,13.880394183974136,2.0458028388789886,11.790526002091422
2016-10-08,0.7497486089696319,1.3115994740228856,1.858838226108682,1.1527180395416925,,2.2466666666666666,1.3161882558647822,1.1439340400471143,1.6316270566727604,1.3816109477368863,10.839285714285714,1.4150433456350116,0.5849028886002351,7.572579682463889,,1.2155575613358496,4.863910490398349,1.417511359664453,2.6773785570566253,3.709352162882584,22.008340664179105,42.90358230378991,18.85903258274082,42.8205727994228,,26.918614457831325,51.58345400939518,59.45015181023785,21.54515796607143,-496.3924146201138,0.0916722956672778,0.1840502384437414,0.2348074889593829,0.2333566923615977,,-0.0741890959282263,0.1242902601859362,0.143967163039328,0.0243981782693558,-0.2308536027470498,0.1749493389944996,0.2385617828981538,0.2741183056540399,0.0,,-0.010351966873706,0.1760154738878143,0.1951699121802214,0.0896768596833658,-0.1874305619531077,3.696319442717997,4.017524890746873,4.980202160658478,0.7969832249015161,,1.1144629523262493,12.428760859863514,13.880394183974136,2.0458028388789886,11.790526002091422,3.696319442717997,4.017524890746873,4.980202160658478,0.7969832249015161,,1.1144629523262493,12.428760859863514,13.880394183974136,2.0458028388789886,11.790526002091422
2016-10-09,0.7497486089696319,1.3115994740228856,1.858838226108682,1.1527180395416925,,2.2466666666666666,1.3161882558647822,1.1439340400471143,1.6316270566727604,1.3816109477368863,10.839285714285714,1.4150433456350116,0.5849028886002351,7.572579682463889,,1.2155575613358496,4.863910490398349,1.417511359664453,2.6773785570566253,3.709352162882584,22.008340664179105,42.90358230378991,18.85903258274082,42.8205727994228,,26.918614457831325,51.58345400939518,59.45015181023785,21.54515796607143,-496.3924146201138,0.0916722956672778,0.1840502384437414,0.2348074889593829,0.2333566923615977,,-0.0741890959282263,0.1242902601859362,0.143967163039328,0.0243981782693558,-0.2308536027470498,0.1749493389944996,0.2385617828981538,0.2741183056540399,0.0,,-0.010351966873706,0.1760154738878143,0.1951699121802214,0.0896768596833658,-0.1874305619531077,3.696319442717997,4.017524890746873,4.980202160658478,0.7969832249015161,,1.1144629523262493,12.428760859863514,13.880394183974136,2.0458028388789886,11.790526002091422,3.696319442717997,4.017524890746873,4.980202160658478,0.7969832249015161,,1.1144629523262493,12.428760859863514,13.880394183974136,2.0458028388789886,11.790526002091422
2016-10-10,0.7497486089696319,1.3115994740228856,1.858838226108682,1.1527180395416925,,2.2466666666666666,1.3161882558647822,1.1439340400471143,1.6316270566727604,1.3816109477368863,10.839285714285714,1.4150433456350116,0.5849028886002351,7.572579682463889,,1.2155575613358496,4.863910490398349,1.417511359664453,2.6773785570566253,3.709352162882584,22.008340664179105,42.90358230378991,18.85903258274082,42.8205727994228,,26.918614457831325,51.58345400939518,59.45015181023785,21.54515796607143,-496.3924146201138,0.0916722956672778,0.1840502384437414,0.2348074889593829,0.2333566923615977,,-0.0741890959282263,0.1242902601859362,0.143967163039328,0.0243981782693558,-0.2308536027470498,0.1749493389944996,0.2385617828981538,0.2741183056540399,0.0,,-0.010351966873706,0.1760154738878143,0.1951699121802214,0.0896768596833658,-0.1874305619531077,3.696319442717997,4.017524890746873,4.980202160658478,0.7969832249015161,,1.1144629523262493,12.428760859863514,13.880394183974136,2.0458028388789886,11.790526002091422,3.696319442717997,4.017524890746873,4.980202160658478,0.7969832249015161,,1.1144629523262493,12.428760859863514,13.880394183974136,2.0458028388789886,11.790526002091422
